order_id,customer_id,product,category,unit_price,quantity,discount,order_date,region,status,amount
ORD10000,CUST1102,产品D,电子,347.76,9,0.0,2023-01-01 00:00:00,西南,已取消,3129.84
ORD10001,CUST1435,产品C,服装,133.63,5,0.15,2023-01-01 01:00:00,西南,已完成,567.93
ORD10002,CUST1860,产品B,电子,160.81,2,0.0,2023-01-01 02:00:00,西北,已完成,321.62
ORD10003,CUST1270,产品C,图书,310.68,7,0.15,2023-01-01 03:00:00,西北,已完成,1848.55
ORD10004,CUST1106,产品B,家居,449.99,8,0.0,2023-01-01 04:00:00,西南,已完成,3599.92
ORD10005,CUST1071,产品A,电子,406.86,7,0.0,2023-01-01 05:00:00,西南,已完成,2848.02
ORD10006,CUST1700,产品C,图书,295.73,7,0.0,2023-01-01 06:00:00,华东,已完成,2070.11
ORD10007,CUST1020,产品D,家居,367.81,5,0.1,2023-01-01 07:00:00,华东,已完成,1655.14
ORD10008,CUST1614,产品D,食品,188.76,2,0.0,2023-01-01 08:00:00,华南,已完成,377.52
ORD10009,CUST1121,产品E,电子,324.07,6,0.15,2023-01-01 09:00:00,东北,已完成,1652.76
ORD10010,CUST1466,产品B,电子,238.43,4,0.0,2023-01-01 10:00:00,华中,已完成,953.72
ORD10011,CUST1214,产品C,食品,103.07,2,0.0,2023-01-01 11:00:00,东北,已完成,206.14
ORD10012,CUST1330,产品E,食品,353.85,9,0.15,2023-01-01 12:00:00,华东,已完成,2706.95
ORD10013,CUST1458,产品C,电子,282.67,7,0.15,2023-01-01 13:00:00,华南,已完成,1681.89
ORD10014,CUST1087,产品B,食品,185.72,6,0.0,2023-01-01 14:00:00,东北,已完成,1114.32
ORD10015,CUST1372,产品D,服装,456.56,5,0.1,2023-01-01 15:00:00,华北,已完成,2054.52
ORD10016,CUST1099,产品A,家居,20.26,3,0.0,2023-01-01 16:00:00,西北,已完成,60.78
ORD10017,CUST1871,产品D,家居,164.73,4,0.15,2023-01-01 17:00:00,东北,已完成,560.08
ORD10018,CUST1663,产品E,家居,37.87,3,0.2,2023-01-01 18:00:00,华中,已完成,90.89
ORD10019,CUST1130,产品A,服装,385.6,8,0.2,2023-01-01 19:00:00,华南,已完成,2467.84
ORD10020,CUST1661,产品E,食品,354.03,3,0.15,2023-01-01 20:00:00,东北,已完成,902.78
ORD10021,CUST1308,产品B,图书,172.36,7,0.0,2023-01-01 21:00:00,西南,已完成,1206.52
ORD10022,CUST1769,产品A,食品,341.07,7,0.15,2023-01-01 22:00:00,华北,已完成,2029.37
ORD10023,CUST1343,产品E,电子,204.01,7,0.1,2023-01-01 23:00:00,西北,已完成,1285.26
ORD10024,CUST1491,产品B,家居,380.56,7,0.0,2023-01-02 00:00:00,华北,已完成,2663.92
