order_id,customer_id,product,category,unit_price,quantity,discount,amount,order_date,region,status
ORD00001,CUST0058,显示器,电脑,2104.16,3,0.0,6312.48,2024-01-24,东北,已退款
ORD00002,CUST0013,U盘,配件,45.19,1,0.0,45.19,2024-06-15,东北,已退款
ORD00003,CUST0141,鼠标,配件,116.59,3,0.0,349.77,2024-12-13,东北,处理中
ORD00004,CUST0126,U盘,配件,48.85,5,0.0,244.25,2024-08-15,华南,已退款
ORD00005,CUST0115,键盘,配件,294.89,2,0.1,530.8,2024-04-29,华南,已完成
ORD00006,CUST0072,充电宝,配件,139.95,1,0.2,111.96,2024-11-06,西南,已完成
ORD00007,CUST0053,充电宝,配件,135.08,1,0.0,135.08,2024-09-05,华东,已完成
ORD00008,CUST0280,充电宝,配件,153.76,2,0.0,307.52,2024-07-23,东北,已完成
ORD00009,CUST0045,摄像头,配件,610.16,2,0.05,1159.3,2024-11-09,华北,已完成
ORD00010,CUST0217,U盘,配件,48.7,3,0.05,138.8,2024-02-11,华东,已完成
ORD00011,CUST0017,鼠标,配件,139.54,3,0.2,334.9,2024-06-27,华东,已完成
ORD00012,CUST0016,摄像头,配件,544.29,2,0.05,1034.15,2024-08-07,华南,已完成
ORD00013,CUST0048,笔记本电脑,电脑,6721.34,1,0.1,6049.21,2024-08-31,西南,已完成
ORD00014,CUST0112,键盘,配件,269.71,4,0.2,863.07,2024-12-03,西南,已完成
ORD00015,CUST0120,键盘,配件,274.87,5,0.0,1374.35,2024-12-24,东北,已完成
ORD00016,CUST0259,手机,手机,3698.11,5,0.1,16641.49,2024-02-21,东北,已完成
ORD00017,CUST0014,显示器,电脑,2039.7,3,0.05,5813.15,2024-07-16,华东,已完成
ORD00018,CUST0288,U盘,配件,49.86,2,0.0,99.72,2024-05-30,西南,已完成
ORD00019,CUST0102,鼠标,配件,121.26,1,0.0,121.26,2024-11-06,华东,已完成
ORD00020,CUST0280,笔记本电脑,电脑,7237.81,1,0.1,6514.03,2024-04-09,华北,已完成
ORD00021,CUST0215,U盘,配件,44.39,3,0.15,113.19,2024-12-30,华南,已完成
ORD00022,CUST0113,摄像头,配件,556.54,3,0.05,1586.14,2024-03-14,西南,已完成
ORD00023,CUST0230,鼠标,配件,135.35,4,0.05,514.33,2024-09-23,华东,已完成
ORD00024,CUST0143,U盘,配件,46.82,5,0.05,222.39,2024-10-19,华南,已退款
ORD00025,CUST0004,U盘,配件,49.78,5,0.05,236.45,2024-09-15,东北,处理中
ORD00026,CUST0082,耳机,配件,387.21,5,0.0,1936.05,2024-01-17,华北,已完成
ORD00027,CUST0217,笔记本电脑,电脑,7496.12,3,0.1,,2024-03-06,华东,已完成
ORD00028,CUST0175,U盘,配件,51.75,4,0.1,186.3,2024-09-11,西南,处理中
ORD00029,CUST0143,摄像头,配件,612.53,2,0.0,1225.06,2024-02-14,华北,已完成
ORD00030,CUST0080,平板,电脑,3001.94,3,0.0,9005.82,2024-06-03,华北,已完成
ORD00031,CUST0111,充电宝,配件,136.14,4,0.1,490.1,2024-12-10,华东,已完成
ORD00032,CUST0173,U盘,配件,52.13,3,0.0,156.39,2024-10-07,华北,已完成
ORD00033,CUST0053,显示器,电脑,2104.24,2,0.1,3787.63,2024-08-27,西南,已完成
ORD00034,CUST0048,平板,电脑,3016.3,2,0.15,5127.71,2024-03-27,华东,已完成
ORD00035,CUST0195,耳机,配件,416.22,4,0.1,1498.39,2024-08-16,华南,已完成
ORD00036,CUST0050,笔记本电脑,电脑,7648.88,1,0.2,6119.1,2024-02-29,华北,处理中
ORD00037,CUST0184,U盘,配件,45.78,2,0.2,73.25,2024-09-03,西南,已完成
ORD00038,CUST0177,手机,手机,4202.16,2,0.0,8404.32,2024-12-05,东北,已完成
ORD00039,CUST0136,耳机,配件,359.45,2,0.0,718.9,2024-10-03,西南,已完成
ORD00040,CUST0023,笔记本电脑,电脑,7314.44,2,0.0,14628.88,2024-05-03,华南,已完成
ORD00041,CUST0236,摄像头,配件,649.82,1,0.0,649.82,2024-05-04,华南,已完成
ORD00042,CUST0275,键盘,配件,324.14,5,0.0,1620.7,2024-04-18,华北,已完成
ORD00043,CUST0064,显示器,电脑,2139.45,5,0.15,9092.66,2024-03-28,东北,已完成
ORD00044,CUST0194,平板,电脑,2983.83,2,0.0,5967.66,2024-12-03,华北,已完成
ORD00045,CUST0041,显示器,电脑,2078.21,1,0.0,2078.21,2024-12-24,华南,已完成
